City,Date,Temperature (°F),Humidity (%)
Chicago,2025-01-01,86.9,21.0
Phoenix,2025-01-02,39.4,51.0
,2025-01-03,46.2,23.0
Los Angeles,2025-01-04,86.1,56.0
Los Angeles,2025-01-05,43.9,32.0
Chicago,2025-01-06,74.7,51.0
Los Angeles,2025-01-07,49.8,
New York,2025-01-08,-999.0,37.0
Houston,2025-01-09,,38.0
Houston,2025-01-10,34.9,24.0
New York,2025-01-11,54.6,65.0
New York,2025-01-12,54.2,55.0
Phoenix,2025-01-13,32.5,37.0
Chicago,2025-01-14,46.0,56.0
New York,2025-01-15,46.7,40.0
Phoenix,2025-01-16,53.1,49.0
Chicago,2025-01-17,66.7,29.0
Houston,2025-01-18,94.4,
Houston,2025-01-19,61.6,27.0
Chicago,2025-01-20,76.7,43.0
New York,2025-01-21,85.8,24.0
,2025-01-22,64.3,75.0
New York,2025-01-23,68.4,55.0
Chicago,2025-01-24,31.6,51.0
Phoenix,2025-01-25,89.7,60.0
Houston,2025-01-26,69.2,46.0
Los Angeles,2025-01-27,54.0,54.0
Chicago,2025-01-28,93.7,86.0
Phoenix,2025-01-29,,73.0
Chicago,2025-01-30,96.4,44.0
Los Angeles,2025-01-31,72.7,
Los Angeles,2025-02-01,69.9,28.0
Phoenix,2025-02-02,,81.0
Chicago,2025-02-03,80.4,49.0
Houston,2025-02-04,35.8,29.0
Phoenix,2025-02-05,57.6,33.0
,2025-02-06,81.6,51.0
Los Angeles,2025-02-07,,32.0
Phoenix,2025-02-08,38.4,30.0
Houston,2025-02-09,93.3,85.0
New York,2025-02-10,42.0,66.0
Houston,2025-02-11,92.5,75.0
New York,2025-02-12,65.2,60.0
Houston,2025-02-13,40.6,33.0
Los Angeles,2025-02-14,64.3,32.0
Los Angeles,2025-02-15,32.5,86.0
Chicago,2025-02-16,98.2,87.0
Phoenix,2025-02-17,43.2,54.0
New York,2025-02-18,39.0,58.0
,2025-02-19,,34.0
Chicago,2025-02-20,79.7,84.0
Houston,2025-02-21,76.1,63.0
Houston,2025-02-22,37.7,87.0
Los Angeles,2025-02-23,30.7,20.0
Phoenix,2025-02-24,58.0,57.0
Houston,2025-02-25,89.9,75.0
Chicago,2025-02-26,53.0,62.0
Chicago,2025-02-27,,77.0
Los Angeles,2025-02-28,76.7,52.0
Chicago,2025-03-01,95.1,49.0
New York,2025-03-02,85.0,46.0
Chicago,2025-03-03,76.3,
Chicago,2025-03-04,85.5,30.0
Los Angeles,2025-03-05,97.1,200.0
New York,2025-03-06,93.2,49.0
Phoenix,2025-03-07,88.8,29.0
Houston,2025-03-08,49.0,89.0
New York,2025-03-09,92.9,68.0
Phoenix,2025-03-10,49.2,53.0
Houston,2025-03-11,66.5,38.0
New York,2025-03-12,77.3,80.0
New York,2025-03-13,67.4,200.0
New York,2025-03-14,37.5,80.0
Los Angeles,2025-03-15,89.9,69.0
Houston,2025-03-16,-999.0,68.0
New York,2025-03-17,79.6,61.0
Los Angeles,2025-03-18,,53.0
Phoenix,2025-03-19,81.2,61.0
New York,2025-03-20,57.7,23.0
New York,2025-03-21,75.3,57.0
Houston,2025-03-22,33.3,38.0
,2025-03-23,,62.0
Los Angeles,2025-03-24,63.7,81.0
Los Angeles,2025-03-25,,28.0
Phoenix,2025-03-26,,81.0
Los Angeles,2025-03-27,37.6,43.0
Houston,2025-03-28,61.4,78.0
Chicago,2025-03-29,42.4,
Houston,2025-03-30,84.2,47.0
New York,2025-03-31,-999.0,55.0
Houston,2025-04-01,89.5,42.0
Los Angeles,2025-04-02,68.4,88.0
New York,2025-04-03,85.6,32.0
Phoenix,2025-04-04,97.4,24.0
Los Angeles,2025-04-05,79.1,84.0
Chicago,2025-04-06,55.1,66.0
Los Angeles,2025-04-07,99.1,81.0
Houston,2025-04-08,55.4,84.0
Los Angeles,2025-04-09,97.3,200.0
Houston,2025-04-10,77.3,30.0
